"","Property.Name","Property.Type","Asking","PSF","Built.Year","Model","Developer","Address","District","Bedrooms","Bathrooms","Floor","Area","Tenure","No..of.Units","Facilities","Agent","Furnish"
"1","Laverne's Loft","Apartment","$1,300,000","$1,041 psf (Built-up)","2013","Penthouse","Asimont Holdings Pte Ltd","66 Lorong L Telok Kurau (425509)","D15 - East Coast / Marine Parade","2","2","05","1,249 sqft (Built-up)","FREEHOLD","44","Renovated | City View | Jacuzzi | Air Conditioning | Cooker Hob/hood | Water Heater | Balcony","Steven Lau",NA
"2","Queens Peak","Condominium","$1,324,000","$1,708 psf (Built-up)","2020","Condominium","HY Realty (Dundee) Pte Ltd","1 Dundee Road (149456)","D3 - Alexandra / Commonwealth","2","2","22","775 sqft (Built-up)","LEASEHOLD/99 years","736","Original Condition | Park/greenery View | Air Conditioning | Intercom | Water Heater | Cooker Hob/hood | Balcony | Walk-in-wardrobe","Henry Lim (MBA, EXPERT-SRX)","Partially Furnished"
"3","Marina One Residences","Apartment","$2,793,950","$2,497 psf (Built-up)",NA,"Apartment","MS Residential1 Pte Ltd/MS Residential 2 Pte Ltd/Ms Commercial Pte Ltd","21 Marina Way (018978)","D1 - Boat Quay / Raffles Place / Marina","2",NA,"28","1,119 sqft (Built-up)","LEASEHOLD/99 years","1042","Renovated | Park/greenery View | Original Condition | Intercom | Cooker Hob/hood | Water Heater | Air Conditioning | Balcony | Walk-in-wardrobe","Henry Lim (MBA, EXPERT-SRX)",NA
"4","Gem Residences","Condominium","$1,642,000","$1,734 psf (Built-up)","2020","Condominium","GEM Homes Pte Ltd","1 Lorong 5 Toa Payoh (319458)","D12 - Balestier / Toa Payoh","3","1","09","947 sqft (Built-up)","LEASEHOLD/99 years","578","City View | Original Condition | Air Conditioning | Intercom | Cooker Hob/hood | Water Heater | Balcony | Walk-in-wardrobe","Henry Lim (MBA, EXPERT-SRX)","Partially Furnished"
"5","Duo Residences","Apartment","$4,215,100","$2,759 psf (Built-up)","2017","Apartment","Ophir-Rochor Residential Pte. Ltd.","1 Fraser Street (189350)","D7 - Beach Road / Bugis / Rochor","3","3","40","1,528 sqft (Built-up)","LEASEHOLD/99 years","660","Sky Pool | Teppanyaki Terraces | Patio Gym | Children's Pool | Outdoor Living Room | Jacuzzi | Sun Deck | Reflective Pool | Gymnasium | 50M Lap Pool With Spa Seats | Function Room | Kid's Play Area | Aqua Gym Equipment | Original Condition | Park/greenery View | Air Conditioning | Water Heater | Intercom | Cooker Hob/hood | Balcony | Walk-in-wardrobe","Tina Lee Kim Lian","Partially Furnished"
"6","Queens Peak","Condominium","$1,229,000","$1,586 psf (Built-up)",NA,"Condominium","HY Realty (Dundee) Pte Ltd","3 Dundee Road (149457)","D3 - Alexandra / Commonwealth","2","2","24","775 sqft (Built-up)","LEASEHOLD/99 years","736","Corner Unit | City View | Renovated | Park/greenery View | Air Conditioning | Cooker Hob/hood | Water Heater | Balcony","Kane Seow K H",NA
"7","Gem Residences","Condominium","$1,640,000","$1,732 psf (Built-up)",NA,"Condominium","GEM Homes Pte Ltd","3 Lorong 5 Toa Payoh (319459)","D12 - Balestier / Toa Payoh","3","2","26","947 sqft (Built-up)","LEASEHOLD/99 years","578","Park/greenery View | Renovated | City View | Air Conditioning | Water Heater | Intercom | Cooker Hob/hood | Balcony","Kane Seow K H",NA
"8","Queens Peak","Condominium","$1,423,000","$1,503 psf (Built-up)",NA,"Condominium","HY Realty (Dundee) Pte Ltd","1 Dundee Road (149456)","D3 - Alexandra / Commonwealth","3","2","24","947 sqft (Built-up)","LEASEHOLD/99 years","736","Corner Unit | Renovated | City View | Air Conditioning | Cooker Hob/hood | Private Lift | Balcony","Kane Seow K H",NA
"9","Marina One Residences","Apartment","$3,577,000","$2,356 psf (Built-up)","2017","Apartment","MS Residential1 Pte Ltd/MS Residential 2 Pte Ltd/Ms Commercial Pte Ltd","21 Marina Way (018978)","D1 - Boat Quay / Raffles Place / Marina","3","3","21","1,518 sqft (Built-up)","LEASEHOLD/99 years","1042","Corner Unit | Park/greenery View | Sea View | City View | Air Conditioning | Intercom | Water Heater | Cooker Hob/hood | Private Lift | Bathtub | Balcony | Walk-in-wardrobe | Maidsroom","Cynthia Lee","Partially Furnished"
"10","Queens Peak","Condominium","$1,324,000","$1,708 psf (Built-up)","2020","Condominium","HY Realty (Dundee) Pte Ltd","1 Dundee Road (149456)","D3 - Alexandra / Commonwealth","2","2","22","775 sqft (Built-up)","LEASEHOLD/99 years","736","Original Condition | Park/greenery View | Air Conditioning | Intercom | Water Heater | Cooker Hob/hood | Balcony | Walk-in-wardrobe","Tina Lee Kim Lian","Partially Furnished"
"11","Duo Residences","Apartment","$4,040,000","$2,097 psf (Built-up)","2017","Apartment","Ophir-Rochor Residential Pte. Ltd.","1 Fraser Street (189350)","D7 - Beach Road / Bugis / Rochor","4","4","48","1,927 sqft (Built-up)","LEASEHOLD/99 years","660","50M Lap Pool With Spa Seats | Teppanyaki Terraces | Sun Deck | Sky Pool | Patio Gym | Function Room | Kid's Play Area | Reflective Pool | Gymnasium | Aqua Gym Equipment | Outdoor Living Room | Jacuzzi | Children's Pool | Corner Unit | City View | Colonial Building | Swimming Pool View | Sea View | Park/greenery View | Air Conditioning | Cooker Hob/hood | Bathtub | Water Heater | Intercom | Balcony | Maidsroom","Cynthia Lee","Partially Furnished"
"12","Duo Residences","Apartment","$4,797,900","$3,140 psf (Built-up)",NA,"Apartment","Ophir-Rochor Residential Pte. Ltd.","1 Fraser Street (189350)","D7 - Beach Road / Bugis / Rochor","4","3","43","1,528 sqft (Built-up)","LEASEHOLD/99 years","660","Reflective Pool | 50M Lap Pool With Spa Seats | Children's Pool | Sun Deck | Outdoor Living Room | Jacuzzi | Patio Gym | Kid's Play Area | Teppanyaki Terraces | Aqua Gym Equipment | Sky Pool | Gymnasium | Function Room | City View | Original Condition | Park/greenery View | Air Conditioning | Cooker Hob/hood | Intercom | Jacuzzi | Water Heater | Balcony | Walk-in-wardrobe","Henry Lim (MBA, EXPERT-SRX)","Partially Furnished"
"13","Duo Residences","Apartment","$3,727,232","$1,934 psf (Built-up)","2017","Apartment","Ophir-Rochor Residential Pte. Ltd.","1 Fraser Street (189350)","D7 - Beach Road / Bugis / Rochor","4+1","4","47","1,927 sqft (Built-up)","LEASEHOLD/99 years","660","Kid's Play Area | Patio Gym | Reflective Pool | Function Room | Jacuzzi | Gymnasium | Sun Deck | Aqua Gym Equipment | Sky Pool | 50M Lap Pool With Spa Seats | Children's Pool | Outdoor Living Room | Teppanyaki Terraces | Corner Unit | City View | Renovated | Air Conditioning | Hairdryer | Intercom | Water Heater | Cooker Hob/hood | Balcony | Maidsroom | Walk-in-wardrobe","Kaeden Ong (EXPERT, SRX) Developer Sales","Partially Furnished"
"14","6 Derbyshire","Condominium","$1,774,128","$3,743 psf (Built-up)","2017","Condominium","Fantasia (Novena) Pte Ltd","6 Derbyshire Road (309462)","D11 - Newton / Novena","1","1","11","474 sqft (Built-up)","FREEHOLD","168","Gymnasium | Bbq Pits | Spa Pool | Simming Pool | Pavilion | Reflective Pool | Community Sky Garden | Children Playground | Park/greenery View | Original Condition | Air Conditioning | Hairdryer | Intercom | Water Heater | Cooker Hob/hood | Balcony | Walk-in-wardrobe","Tina Lee Kim Lian","Not Furnished"
"15","Kingsford Waterbay","Apartment","$967,877","$1,428 psf (Built-up)","2017","Apartment","Kingsford Property Development Pte Ltd","64 Upper Serangoon View (533886)","D19 - Hougang / Punggol / Sengkang","2","2","02","678 sqft (Built-up)","LEASEHOLD/99 years","1165","Park/greenery View | Original Condition | Hairdryer | Water Heater | Balcony | Walk-in-wardrobe","Tina Lee Kim Lian","Partially Furnished"
"16","Gem Residences","Condominium","$1,642,000","$1,734 psf (Built-up)","2020","Condominium","GEM Homes Pte Ltd","1 Lorong 5 Toa Payoh (319458)","D12 - Balestier / Toa Payoh","3","2","09","947 sqft (Built-up)","LEASEHOLD/99 years","578","Original Condition | Park/greenery View | Swimming Pool View | Intercom | Water Heater | Air Conditioning | Cooker Hob/hood | Balcony | Walk-in-wardrobe","Tina Lee Kim Lian","Partially Furnished"
